,Kabupaten / Kota,Tahun,TPAK Perempuan
118,3311 Kabupaten Sukoharjo,2017,57.56
119,3312 Kabupaten Wonogiri,2017,62.43
120,3313 Kabupaten Karanganyar,2017,57.97
121,3314 Kabupaten Sragen,2017,60.85
122,3315 Kabupaten Grobogan,2017,58.62
123,3316 Kabupaten Blora,2017,55.44
124,3317 Kabupaten Rembang,2017,55.04
125,3318 Kabupaten Pati,2017,53.45
126,3319 Kabupaten Kudus,2017,62.96
127,3320 Kabupaten Jepara,2017,57.33
128,3321 Kabupaten Demak,2017,52.32
129,3322 Kabupaten Semarang,2017,68.83
130,3323 Kabupaten Temanggung,2017,61.17
131,3324 Kabupaten Kendal,2017,51.13
132,3325 Kabupaten Batang,2017,51.43
133,3326 Kabupaten Pekalongan,2017,56.91
134,3327 Kabupaten Pemalang,2017,49.96
135,3328 Kabupaten Tegal,2017,52.08
136,3329 Kabupaten Brebes,2017,51.7
137,3371 Kota Magelang,2017,57.6
138,3372 Kota Surakarta,2017,58.04
139,3373 Kota Salatiga,2017,63.49
140,3374 Kota Semarang,2017,59.39
141,3375 Kota Pekalongan,2017,54.76
142,3376 Kota Tegal,2017,52.79
143,3300 Provinsi Jawa Tengah,2017,56.26
144,3301 Kabupaten Cilacap,2018,47.7
145,3302 Kabupaten Banyumas,2018,52.59
146,3303 Kabupaten Purbalingga,2018,58.18
147,3304 Kabupaten Banjarnegara,2018,57.63
148,3305 Kabupaten Kebumen,2018,52.15
149,3306 Kabupaten Purworejo,2018,55.44
150,3307 Kabupaten Wonosobo,2018,60.51
151,3308 Kabupaten Magelang,2018,62.02
152,3309 Kabupaten Boyolali,2018,62.45
153,3310 Kabupaten Klaten,2018,55.72
154,3311 Kabupaten Sukoharjo,2018,57.87
155,3312 Kabupaten Wonogiri,2018,65.75
156,3313 Kabupaten Karanganyar,2018,60.41
157,3314 Kabupaten Sragen,2018,54.36
158,3315 Kabupaten Grobogan,2018,60.46
159,3316 Kabupaten Blora,2018,61.25
160,3317 Kabupaten Rembang,2018,55.15
161,3318 Kabupaten Pati,2018,53.11
162,3319 Kabupaten Kudus,2018,64.11
163,3320 Kabupaten Jepara,2018,55.46
164,3321 Kabupaten Demak,2018,59.84
165,3322 Kabupaten Semarang,2018,64.49
166,3323 Kabupaten Temanggung,2018,61.49
167,3324 Kabupaten Kendal,2018,50.57
168,3325 Kabupaten Batang,2018,56.69
169,3326 Kabupaten Pekalongan,2018,57.94
170,3327 Kabupaten Pemalang,2018,49.18
171,3328 Kabupaten Tegal,2018,49.19
172,3329 Kabupaten Brebes,2018,52.64
173,3371 Kota Magelang,2018,60.99
174,3372 Kota Surakarta,2018,56.68
175,3373 Kota Salatiga,2018,66.88
176,3374 Kota Semarang,2018,54.28
177,3375 Kota Pekalongan,2018,60.59
178,3376 Kota Tegal,2018,53.3
179,3300 Provinsi Jawa Tengah,2018,56.43
180,3301 Kabupaten Cilacap,2019,47.1
181,3302 Kabupaten Banyumas,2019,51.27
182,3303 Kabupaten Purbalingga,2019,54.82
183,3304 Kabupaten Banjarnegara,2019,55.72
184,3305 Kabupaten Kebumen,2019,56
185,3306 Kabupaten Purworejo,2019,52.32
186,3307 Kabupaten Wonosobo,2019,57.6
187,3308 Kabupaten Magelang,2019,64.06
188,3309 Kabupaten Boyolali,2019,62.2
189,3310 Kabupaten Klaten,2019,58.23
190,3311 Kabupaten Sukoharjo,2019,56.67
191,3312 Kabupaten Wonogiri,2019,55.78
192,3313 Kabupaten Karanganyar,2019,58.42
193,3314 Kabupaten Sragen,2019,54.76
194,3315 Kabupaten Grobogan,2019,52.76
195,3316 Kabupaten Blora,2019,53.46
196,3317 Kabupaten Rembang,2019,50.29
197,3318 Kabupaten Pati,2019,50.17
198,3319 Kabupaten Kudus,2019,61.57
199,3320 Kabupaten Jepara,2019,54.2
200,3321 Kabupaten Demak,2019,54.43
201,3322 Kabupaten Semarang,2019,64.58
202,3323 Kabupaten Temanggung,2019,64.73
203,3324 Kabupaten Kendal,2019,55.52
204,3325 Kabupaten Batang,2019,54.65
205,3326 Kabupaten Pekalongan,2019,58.43
206,3327 Kabupaten Pemalang,2019,49.36
207,3328 Kabupaten Tegal,2019,51.38
208,3329 Kabupaten Brebes,2019,50.22
209,3371 Kota Magelang,2019,57.33
210,3372 Kota Surakarta,2019,59.77
