,Kabupaten / Kota,Tahun,TPAK Laki-laki
118,3311 Kabupaten Sukoharjo,2017,77.4
119,3312 Kabupaten Wonogiri,2017,80.79
120,3313 Kabupaten Karanganyar,2017,83.06
121,3314 Kabupaten Sragen,2017,82.13
122,3315 Kabupaten Grobogan,2017,86.28
123,3316 Kabupaten Blora,2017,85.83
124,3317 Kabupaten Rembang,2017,86.97
125,3318 Kabupaten Pati,2017,81.54
126,3319 Kabupaten Kudus,2017,81.03
127,3320 Kabupaten Jepara,2017,82.68
128,3321 Kabupaten Demak,2017,83.83
129,3322 Kabupaten Semarang,2017,84.39
130,3323 Kabupaten Temanggung,2017,87.67
131,3324 Kabupaten Kendal,2017,81.54
132,3325 Kabupaten Batang,2017,84.25
133,3326 Kabupaten Pekalongan,2017,85.56
134,3327 Kabupaten Pemalang,2017,81.93
135,3328 Kabupaten Tegal,2017,81.29
136,3329 Kabupaten Brebes,2017,83.23
137,3371 Kota Magelang,2017,73.46
138,3372 Kota Surakarta,2017,74.84
139,3373 Kota Salatiga,2017,78.07
140,3374 Kota Semarang,2017,81.03
141,3375 Kota Pekalongan,2017,84.1
142,3376 Kota Tegal,2017,80.47
143,3300 Provinsi Jawa Tengah,2017,82.46
144,3301 Kabupaten Cilacap,2018,77.64
145,3302 Kabupaten Banyumas,2018,83.1
146,3303 Kabupaten Purbalingga,2018,83.5
147,3304 Kabupaten Banjarnegara,2018,86.35
148,3305 Kabupaten Kebumen,2018,79.72
149,3306 Kabupaten Purworejo,2018,78.89
150,3307 Kabupaten Wonosobo,2018,84.03
151,3308 Kabupaten Magelang,2018,80.92
152,3309 Kabupaten Boyolali,2018,82.69
153,3310 Kabupaten Klaten,2018,79.24
154,3311 Kabupaten Sukoharjo,2018,79.4
155,3312 Kabupaten Wonogiri,2018,85.45
156,3313 Kabupaten Karanganyar,2018,80.87
157,3314 Kabupaten Sragen,2018,80.91
158,3315 Kabupaten Grobogan,2018,81.51
159,3316 Kabupaten Blora,2018,85.34
160,3317 Kabupaten Rembang,2018,80.54
161,3318 Kabupaten Pati,2018,81.71
162,3319 Kabupaten Kudus,2018,81.04
163,3320 Kabupaten Jepara,2018,82.87
164,3321 Kabupaten Demak,2018,82.49
165,3322 Kabupaten Semarang,2018,80.96
166,3323 Kabupaten Temanggung,2018,86.75
167,3324 Kabupaten Kendal,2018,81.68
168,3325 Kabupaten Batang,2018,84.02
169,3326 Kabupaten Pekalongan,2018,83.79
170,3327 Kabupaten Pemalang,2018,82.06
171,3328 Kabupaten Tegal,2018,82.22
172,3329 Kabupaten Brebes,2018,81.71
173,3371 Kota Magelang,2018,77.15
174,3372 Kota Surakarta,2018,76.06
175,3373 Kota Salatiga,2018,77.75
176,3374 Kota Semarang,2018,78.3
177,3375 Kota Pekalongan,2018,80.31
178,3376 Kota Tegal,2018,78.23
179,3300 Provinsi Jawa Tengah,2018,81.59
180,3301 Kabupaten Cilacap,2019,83.69
181,3302 Kabupaten Banyumas,2019,83.64
182,3303 Kabupaten Purbalingga,2019,82
183,3304 Kabupaten Banjarnegara,2019,84.5
184,3305 Kabupaten Kebumen,2019,81.76
185,3306 Kabupaten Purworejo,2019,81.96
186,3307 Kabupaten Wonosobo,2019,86.13
187,3308 Kabupaten Magelang,2019,85.37
188,3309 Kabupaten Boyolali,2019,83.72
189,3310 Kabupaten Klaten,2019,80.61
190,3311 Kabupaten Sukoharjo,2019,80.7
191,3312 Kabupaten Wonogiri,2019,85.07
192,3313 Kabupaten Karanganyar,2019,82.4
193,3314 Kabupaten Sragen,2019,81.47
194,3315 Kabupaten Grobogan,2019,86.34
195,3316 Kabupaten Blora,2019,84.39
196,3317 Kabupaten Rembang,2019,82.57
197,3318 Kabupaten Pati,2019,83.44
198,3319 Kabupaten Kudus,2019,83.04
199,3320 Kabupaten Jepara,2019,82.9
200,3321 Kabupaten Demak,2019,81.48
201,3322 Kabupaten Semarang,2019,85.36
202,3323 Kabupaten Temanggung,2019,87.74
203,3324 Kabupaten Kendal,2019,79.97
204,3325 Kabupaten Batang,2019,82.99
205,3326 Kabupaten Pekalongan,2019,84.24
206,3327 Kabupaten Pemalang,2019,83.84
207,3328 Kabupaten Tegal,2019,82.07
208,3329 Kabupaten Brebes,2019,81.92
209,3371 Kota Magelang,2019,72.93
210,3372 Kota Surakarta,2019,79.49
211,3373 Kota Salatiga,2019,77.56
212,3374 Kota Semarang,2019,76.87
213,3375 Kota Pekalongan,2019,82.95
214,3376 Kota Tegal,2019,81.47
215,3300 Provinsi Jawa Tengah,2019,82.78
216,3301 Kabupaten Cilacap,2020,83.21
217,3302 Kabupaten Banyumas,2020,81.78
218,3303 Kabupaten Purbalingga,2020,85.11
219,3304 Kabupaten Banjarnegara,2020,84.94
220,3305 Kabupaten Kebumen,2020,81.88
221,3306 Kabupaten Purworejo,2020,80.4
222,3307 Kabupaten Wonosobo,2020,83.97
223,3308 Kabupaten Magelang,2020,84.88
224,3309 Kabupaten Boyolali,2020,85.3
225,3310 Kabupaten Klaten,2020,80.74
226,3311 Kabupaten Sukoharjo,2020,79.81
227,3312 Kabupaten Wonogiri,2020,85.54
228,3313 Kabupaten Karanganyar,2020,84.05
