,Kabupaten / Kota,Tahun,IDG
135,3327 Kabupaten Pemalang,2018,35.3
136,3328 Kabupaten Tegal,2018,29.04
137,3329 Kabupaten Brebes,2018,25.09
138,3371 Kota Magelang,2018,41.81
139,3372 Kota Surakarta,2018,43.93
140,3373 Kota Salatiga,2018,41.36
141,3374 Kota Semarang,2018,36.9
142,3375 Kota Pekalongan,2018,28.37
143,3376 Kota Tegal,2018,30.24
144,3300 PROVINSI JAWA TENGAH,2019,34.31
145,3301 Kabupaten Cilacap,2019,26.35
146,3302 Kabupaten Banyumas,2019,30.84
147,3303 Kabupaten Purbalingga,2019,30.24
148,3304 Kabupaten Banjarnegara,2019,28.93
149,3305 Kabupaten Kebumen,2019,25.67
150,3306 Kabupaten Purworejo,2019,34.1
151,3307 Kabupaten Wonosobo,2019,24.68
152,3308 Kabupaten Magelang,2019,37.77
153,3309 Kabupaten Boyolali,2019,40.7
154,3310 Kabupaten Klaten,2019,37.81
155,3311 Kabupaten Sukoharjo,2019,41.06
156,3312 Kabupaten Wonogiri,2019,39.25
157,3313 Kabupaten Karanganyar,2019,38.14
158,3314 Kabupaten Sragen,2019,37.18
159,3315 Kabupaten Grobogan,2019,25.43
160,3316 Kabupaten Blora,2019,34.76
161,3317 Kabupaten Rembang,2019,31.82
162,3318 Kabupaten Pati,2019,31.42
163,3319 Kabupaten Kudus,2019,41.09
164,3320 Kabupaten Jepara,2019,23.74
165,3321 Kabupaten Demak,2019,38.77
166,3322 Kabupaten Semarang,2019,45.83
167,3323 Kabupaten Temanggung,2019,40.86
168,3324 Kabupaten Kendal,2019,35.3
169,3325 Kabupaten Batang,2019,28.32
170,3326 Kabupaten Pekalongan,2019,26.19
171,3327 Kabupaten Pemalang,2019,35.34
172,3328 Kabupaten Tegal,2019,29.05
173,3329 Kabupaten Brebes,2019,25.28
174,3371 Kota Magelang,2019,41.83
175,3372 Kota Surakarta,2019,43.95
176,3373 Kota Salatiga,2019,41.4
177,3374 Kota Semarang,2019,37.21
178,3375 Kota Pekalongan,2019,28.53
179,3376 Kota Tegal,2019,30.47
180,3300 PROVINSI JAWA TENGAH,2020,34.29
181,3301 Kabupaten Cilacap,2020,26.44
182,3302 Kabupaten Banyumas,2020,30.87
183,3303 Kabupaten Purbalingga,2020,30.19
184,3304 Kabupaten Banjarnegara,2020,28.88
185,3305 Kabupaten Kebumen,2020,25.79
186,3306 Kabupaten Purworejo,2020,34.03
187,3307 Kabupaten Wonosobo,2020,24.67
188,3308 Kabupaten Magelang,2020,37.82
189,3309 Kabupaten Boyolali,2020,40.73
190,3310 Kabupaten Klaten,2020,37.72
191,3311 Kabupaten Sukoharjo,2020,41.02
192,3312 Kabupaten Wonogiri,2020,39.2
