,Kabupaten / Kota,Tahun,Perempuan di Legislatif
132,3320 Kabupaten Jepara,2021,12
133,3321 Kabupaten Demak,2021,12
134,3322 Kabupaten Semarang,2021,22
135,3323 Kabupaten Temanggung,2021,33.33
136,3324 Kabupaten Kendal,2021,24.44
137,3325 Kabupaten Batang,2021,15.91
138,3326 Kabupaten Pekalongan,2021,26.67
139,3327 Kabupaten Pemalang,2021,32
140,3328 Kabupaten Tegal,2021,24
141,3329 Kabupaten Brebes,2021,16
142,3371 Kota Magelang,2021,24
143,3372 Kota Surakarta,2021,22.22
144,3373 Kota Salatiga,2021,24
145,3374 Kota Semarang,2021,18.75
146,3375 Kota Pekalongan,2021,8.57
147,3376 Kota Tegal,2021,13.33
150,3301 Kabupaten Cilacap,2022,26
151,3302 Kabupaten Banyumas,2022,22
152,3303 Kabupaten Purbalingga,2022,22.22
153,3304 Kabupaten Banjarnegara,2022,26
154,3305 Kabupaten Kebumen,2022,22
155,3306 Kabupaten Purworejo,2022,17.78
156,3307 Kabupaten Wonosobo,2022,4.44
157,3308 Kabupaten Magelang,2022,14
158,3309 Kabupaten Boyolali,2022,31.11
159,3310 Kabupaten Klaten,2022,14
160,3311 Kabupaten Sukoharjo,2022,22.73
161,3312 Kabupaten Wonogiri,2022,16
162,3313 Kabupaten Karanganyar,2022,18.18
163,3314 Kabupaten Sragen,2022,15.56
164,3315 Kabupaten Grobogan,2022,12
165,3316 Kabupaten Blora,2022,8.89
166,3317 Kabupaten Rembang,2022,13.33
167,3318 Kabupaten Pati,2022,16
168,3319 Kabupaten Kudus,2022,8.89
169,3320 Kabupaten Jepara,2022,12
170,3321 Kabupaten Demak,2022,12
171,3322 Kabupaten Semarang,2022,18
172,3323 Kabupaten Temanggung,2022,33.33
173,3324 Kabupaten Kendal,2022,24.44
174,3325 Kabupaten Batang,2022,15.56
175,3326 Kabupaten Pekalongan,2022,26.67
176,3327 Kabupaten Pemalang,2022,32
177,3328 Kabupaten Tegal,2022,24
178,3329 Kabupaten Brebes,2022,16
179,3371 Kota Magelang,2022,24
180,3372 Kota Surakarta,2022,24.44
181,3373 Kota Salatiga,2022,24
182,3374 Kota Semarang,2022,18
183,3375 Kota Pekalongan,2022,11.43
184,3376 Kota Tegal,2022,13.33
187,3301 Kabupaten Cilacap,2023,16
188,3302 Kabupaten Banyumas,2023,18
189,3303 Kabupaten Purbalingga,2023,31.11
190,3304 Kabupaten Banjarnegara,2023,17.78
191,3305 Kabupaten Kebumen,2023,24
192,3306 Kabupaten Purworejo,2023,20
193,3307 Kabupaten Wonosobo,2023,6.67
194,3308 Kabupaten Magelang,2023,16
195,3309 Kabupaten Boyolali,2023,11.11
196,3310 Kabupaten Klaten,2023,6
197,3311 Kabupaten Sukoharjo,2023,20
198,3312 Kabupaten Wonogiri,2023,8.89
199,3313 Kabupaten Karanganyar,2023,28.89
200,3314 Kabupaten Sragen,2023,8.89
201,3315 Kabupaten Grobogan,2023,12
202,3316 Kabupaten Blora,2023,17.78
203,3317 Kabupaten Rembang,2023,22.22
204,3318 Kabupaten Pati,2023,16
205,3319 Kabupaten Kudus,2023,6.67
206,3320 Kabupaten Jepara,2023,8
207,3321 Kabupaten Demak,2023,16
208,3322 Kabupaten Semarang,2023,22.22
209,3323 Kabupaten Temanggung,2023,31.11
210,3324 Kabupaten Kendal,2023,24.44
211,3325 Kabupaten Batang,2023,20
212,3326 Kabupaten Pekalongan,2023,31.11
213,3327 Kabupaten Pemalang,2023,16
214,3328 Kabupaten Tegal,2023,20
215,3329 Kabupaten Brebes,2023,16
216,3371 Kota Magelang,2023,20
217,3372 Kota Surakarta,2023,20
218,3373 Kota Salatiga,2023,29.17
219,3374 Kota Semarang,2023,22
220,3375 Kota Pekalongan,2023,20
221,3376 Kota Tegal,2023,36.67
